time,open,high,low,close,EMA,EMA,S1,R1,RSI Cloud Lead,RSI Cloud Base,RSI Overbought ,Signal RSI Overbought,RSI Oversold,Signal RSI Oversold,Baseline,Cloud Flip Bullish,Cloud Flip Bearish,RSI
1770122700,25985,25997.25,25978,25981.75,25970.842431216406,25971.444987049,25949,25180.25,59.60253596583614,50.508903826172826,70,75,30,25,50,,,54.91993370879511
1770123600,25982,26003.5,25976.25,25989.25,25973.296773720886,25975.005989639198,25949,25180.25,62.534201750591656,51.44487748908036,70,75,30,25,50,,,57.52870629797933
1770124500,25989.25,25998.75,25973.5,25991.5,25975.7238705581,25978.304791711358,25949,25180.25,64.72809830239922,52.35998613525669,70,75,30,25,50,,,58.30819233540283
1770125400,25991.5,25999.5,25971.25,25975.25,25975.66068781702,25977.693833369085,25949,25180.25,57.053444970057996,52.18193003370049,70,75,30,25,50,,,51.02456537358516
1770126300,25975.5,25983,25961.5,25967.25,25974.53926277475,25975.60506669527,25949,25180.25,49.985223561928535,51.60503611894788,70,75,30,25,50,,,47.85522567305593
1770127200,25967.5,25978,25953.25,25956.25,25972.100694404784,25971.734053356216,25949,25180.25,42.72802597962613,50.56761930569965,70,75,30,25,50,,,43.824410019586146
1770128100,25956.5,25957.25,25926.75,25934,25967.02060181748,25964.187242684973,25949,25180.25,33.947338424580494,48.7626253561689,70,75,30,25,50,,,37.03016468421899
1770129000,25934.5,25952.5,25721.75,25752.5,25938.417854908483,25921.84979414798,25949,25180.25,20.31619151188208,44.35132756017388,70,75,30,25,50,,,15.677891886206268
1770129900,25752.25,25811.5,25623,25631.25,25897.462140920685,25863.729835318383,25949,25180.25,12.283900865909494,39.915290935442194,70,75,30,25,50,,,11.081052874686236
1770130800,25632,25647.25,25529.75,25554.25,25851.70052213126,25801.833868254707,25949,25180.25,7.8162162828797115,35.82394334555063,70,75,30,25,50,,,9.230184011255474
1770131700,25554,25604.75,25470.25,25547,25811.073785847093,25750.867094603767,25949,25180.25,5.544199462817831,32.25761216891578,70,75,30,25,50,,,9.076459520789243
1770132600,25546.5,25563.75,25481.25,25524.5,25772.863947734146,25705.593675683012,25949,25180.25,4.283424450019589,29.102981329011932,70,75,30,25,50,,,8.597880869636938
1770133500,25523.75,25631.75,25496.25,25617.5,25752.148754702925,25687.97494054641,25949,25180.25,16.689973872956354,28.685582737575896,70,75,30,25,50,,,25.972491893241653
1770134400,25617.25,25620,25535,25552.25,25725.4955874092,25660.82995243713,25949,25180.25,20.269014492026486,27.888918266350185,70,75,30,25,50,,,22.710599203383055
