time,open,high,low,close,EMA Fast,EMA Slow,LongSignal,ShortSignal
1770367320,24548.078398988793,24563.5,24546,24553.0625,24555.073550715333,24553.497129848536,,
1770367440,24550.570449494397,24589.75,24541.5,24557.5,24555.294137013938,24553.654105148595,1,
1770367560,24554.035224747196,24556.5,24536.25,24545.0625,24554.363988194487,24553.31717945649,,
1770367680,24549.5488623736,24566.75,24539.75,24553.25,24554.262716540445,24553.314544968,,
1770367800,24551.3994311868,24584.75,24551.3994311868,24575,24556.147924127676,24554.164954969256,1,
1770367920,24563.1997155934,24606,24563.1997155934,24593.6875,24559.560612843343,24555.714858695952,1,
1770368040,24578.4436077967,24604,24578.4436077967,24592.1875,24562.526693493946,24557.145158354935,1,
1770368160,24585.31555389835,24593.25,24579,24586.6875,24564.72313044904,24558.303681556703,1,
1770368280,24586.001526949174,24594.5,24577.25,24587,24566.74830040822,24559.42902737801,1,
1770368400,24586.500763474585,24590,24568.25,24581.6875,24568.10640946202,24560.301908657304,1,
1770368520,24584.094131737293,24588.5,24568,24578.6875,24569.068326783654,24561.022912239372,1,
1770368640,24581.390815868646,24581.390815868646,24562,24572.0625,24569.340524348776,24561.455837249592,1,
1770368760,24576.726657934323,24601.5,24574.75,24588.25,24571.059567589797,24562.50658873,1,
1770368880,24582.488328967163,24627.25,24582.488328967163,24613.125,24574.883697808906,24564.491624466078,1,
1770369000,24597.80666448358,24639.25,24597.80666448358,24628.9375,24579.79767982628,24567.0189137027,1,
1770369120,24613.37208224179,24650,24613.37208224179,24642.625,24585.509254387525,24569.98385826338,1,
1770369240,24627.998541120895,24668.75,24627.998541120895,24657.4375,24592.04818580684,24573.413412841284,1,
1770369360,24642.718020560445,24671.25,24642.718020560445,24667.6875,24598.924487097127,24577.110435867115,1,
1770369480,24655.202760280223,24673,24632.5,24657.75,24604.27226099739,24580.272771715463,1,
1770369600,24656.476380140113,24692.75,24645,24665.375,24609.827055452173,24583.61011400113,1,
1770369720,24660.925690070057,24681.25,24659.25,24671.125,24615.399595865612,24587.042070314812,1,
1770369840,24666.02534503503,24701.75,24666.02534503503,24688.4375,24622.039405332376,24591.018361675015,1,
1770369960,24677.231422517514,24717,24677.231422517514,24706.0625,24629.677868483977,24595.52989651129,1,
