Timeframe,Strategy,Params,Exit,Contracts,ATR_Period,Trades,Wins,Losses,Win_Rate,PnL,Profit_Factor,Avg_Win,Avg_Loss,Max_DD,Max_Daily_DD,Costs,Final_Equity
5min,Bollinger,bb_period=20|bb_std=2.0,SL30_TP60,1,5,475,143,332,30.11,-3365.0,0.7,55.76,34.15,3708.96,487.2,1539.0,146635.0
5min,Bollinger,bb_period=20|bb_std=2.0,SL30_TP60,1,10,475,143,332,30.11,-3365.0,0.7,55.76,34.15,3708.96,487.2,1539.0,146635.0
5min,Bollinger,bb_period=20|bb_std=2.0,SL30_TP60,1,14,475,143,332,30.11,-3365.0,0.7,55.76,34.15,3708.96,487.2,1539.0,146635.0
2min,VWAP_Reversion,vwap_dist=3.0,SL50_TP150,3,14,807,213,594,26.39,-3368.04,0.97,437.28,162.47,7651.2,2156.16,7844.04,146631.96
3min,Stochastic,k_per=9|d_per=5|ob=80|os_level=20,SL50_TP150,1,5,234,48,186,20.51,-3369.15,0.67,139.99,54.24,3519.67,650.88,758.16,146630.85
3min,Stochastic,k_per=9|d_per=5|ob=80|os_level=20,SL50_TP150,1,10,234,48,186,20.51,-3369.15,0.67,139.99,54.24,3519.67,650.88,758.16,146630.85
3min,Stochastic,k_per=9|d_per=5|ob=80|os_level=20,SL50_TP150,1,14,234,48,186,20.51,-3369.15,0.67,139.99,54.24,3519.67,650.88,758.16,146630.85
1min,Momentum,lookback=5|atr_mult=2.5,SL100_TP300,5,5,325,108,217,33.23,-3370.1,0.96,766.85,397.19,13606.6,2462.84,5265.0,146629.9
3min,Stochastic,k_per=5|d_per=5|ob=80|os_level=20,SL50_TP150,3,5,137,32,105,23.36,-3371.63,0.8,428.56,162.72,4431.71,864.48,1331.64,146628.37
3min,Stochastic,k_per=5|d_per=5|ob=80|os_level=20,SL50_TP150,3,10,137,32,105,23.36,-3371.63,0.8,428.56,162.72,4431.71,864.48,1331.64,146628.37
3min,Stochastic,k_per=5|d_per=5|ob=80|os_level=20,SL50_TP150,3,14,137,32,105,23.36,-3371.63,0.8,428.56,162.72,4431.71,864.48,1331.64,146628.37
3min,Momentum,lookback=8|atr_mult=2.5,SL100_TP200,1,14,267,81,186,30.34,-3372.09,0.82,187.01,99.57,4501.37,1159.36,865.08,146627.91
3min,Confluence,rsi_period=14|bb_period=20|fast_ema=8|slow_ema=34,SL75_TP150,1,5,402,133,269,33.08,-3373.49,0.82,118.99,71.37,4517.7,979.08,1302.48,146626.51
3min,Confluence,rsi_period=14|bb_period=20|fast_ema=8|slow_ema=34,SL75_TP150,1,10,402,133,269,33.08,-3373.49,0.82,118.99,71.37,4517.7,979.08,1302.48,146626.51
3min,Confluence,rsi_period=14|bb_period=20|fast_ema=8|slow_ema=34,SL75_TP150,1,14,402,133,269,33.08,-3373.49,0.82,118.99,71.37,4517.7,979.08,1302.48,146626.51
