symbol,contracts,hard_stop,ema_fast,ema_slow,stoch_lo,stoch_hi,sl_atr_mult,tp_rr,starting_equity,final_equity,total_pnl,total_return_pct,total_trades,win_count,loss_count,win_rate,avg_win,avg_loss,avg_trade,profit_factor,gross_profit,gross_loss,total_fees,fee_per_trade,max_drawdown_pct,max_drawdown_dollars,max_daily_loss,max_daily_profit,avg_daily_pnl,sharpe_ratio,trading_days,rt_cost_per_trade
MES,3,100,21,55,25,75,2.5,2.0,10000.0,29109.730000001382,19109.730000001844,191.0973000000138,1083,503,580,46.445060018467224,178.31000000000907,-121.69000000000459,17.645180055403365,1.2707519956022062,89689.93000000551,70580.2000000021,23490.2699999997,21.68999999999972,17.078008443753674,1915.7700000000477,-1047.040000000032,1361.4100000000724,155.3636585366011,6.098439588936794,123,21.689999999999998
MES,3,100,21,55,25,75,1.5,2.0,10000.0,29003.879944203094,19003.879944203556,190.03879944203095,1084,503,581,46.40221402214022,178.2932267844478,-121.64821536725238,17.531254561073393,1.2688811789623968,89681.4930725782,70677.61312837308,23511.959999999697,21.68999999999972,17.078008443753674,1915.7700000000477,-1047.040000000032,1361.4100000000724,154.5030889772654,6.051794852257463,123,21.689999999999998
MNQ,1,80,21,55,25,75,1.5,2.5,10000.0,28980.59999999864,18980.600000000082,189.80599999998643,1506,632,874,41.96547144754316,175.09999999999994,-104.90000000000002,12.603320053120905,1.2070251061815667,110663.20000000112,91682.59999999919,37499.400000001064,24.900000000000706,19.902325901323437,2025.3999999999833,-1362.1000000000013,1366.8999999999994,154.31382113821135,5.458771750758667,123,24.9
MNQ,1,80,21,55,25,75,2.0,2.5,10000.0,28980.59999999864,18980.600000000082,189.80599999998643,1506,632,874,41.96547144754316,175.09999999999994,-104.90000000000002,12.603320053120905,1.2070251061815667,110663.20000000112,91682.59999999919,37499.400000001064,24.900000000000706,19.902325901323437,2025.3999999999833,-1362.1000000000013,1366.8999999999994,154.31382113821135,5.458771750758667,123,24.9
MNQ,1,80,21,55,25,75,2.5,2.5,10000.0,28980.59999999864,18980.600000000082,189.80599999998643,1506,632,874,41.96547144754316,175.09999999999994,-104.90000000000002,12.603320053120905,1.2070251061815667,110663.20000000112,91682.59999999919,37499.400000001064,24.900000000000706,19.902325901323437,2025.3999999999833,-1362.1000000000013,1366.8999999999994,154.31382113821135,5.458771750758667,123,24.9
MES,2,100,21,55,25,75,1.5,2.5,10000.0,28788.958363193462,18788.95836319316,187.8895836319346,854,334,520,39.11007025761124,233.5446484896027,-113.8749119852588,22.001122205144217,1.3173009015505295,78003.91259552716,59214.95423233418,12348.839999999767,14.459999999999727,12.611049236984629,1925.9599999999773,-1137.9800000000002,1783.0999999999997,155.28064762969194,5.15729426063482,121,14.46
MES,5,100,21,55,25,75,1.5,2.5,10000.0,28481.749999999218,18481.750000000073,184.81749999999218,1255,541,714,43.10756972111554,213.84999999999997,-136.15000000000003,14.72649402390444,1.1901197496993872,115692.85000000105,97211.09999999913,45368.25000000105,36.15000000000084,23.85716822595823,2879.799999999981,-1147.65,1535.4499999999998,150.25813008130078,4.723156279550641,123,36.15
MES,5,100,21,55,25,75,2.0,2.5,10000.0,28481.749999999218,18481.750000000073,184.81749999999218,1255,541,714,43.10756972111554,213.84999999999997,-136.15000000000003,14.72649402390444,1.1901197496993872,115692.85000000105,97211.09999999913,45368.25000000105,36.15000000000084,23.85716822595823,2879.799999999981,-1147.65,1535.4499999999998,150.25813008130078,4.723156279550641,123,36.15
MES,5,100,21,55,25,75,2.5,2.5,10000.0,28481.749999999218,18481.750000000073,184.81749999999218,1255,541,714,43.10756972111554,213.84999999999997,-136.15000000000003,14.72649402390444,1.1901197496993872,115692.85000000105,97211.09999999913,45368.25000000105,36.15000000000084,23.85716822595823,2879.799999999981,-1147.65,1535.4499999999998,150.25813008130078,4.723156279550641,123,36.15
MES,2,100,21,55,25,75,2.0,2.5,10000.0,28438.695600423416,18438.695600423114,184.38695600423415,848,330,518,38.91509433962264,235.47244166321136,-114.41546360702137,21.74374481181971,1.311111246070848,77705.90574885962,59267.21014843667,12262.079999999773,14.459999999999733,10.29413682906126,1925.9599999999773,-1137.9800000000002,1783.0999999999997,152.3859140530799,5.027089451450514,121,14.46
MES,2,100,21,55,25,75,2.5,2.5,10000.0,28437.92000000074,18437.92000000044,184.37920000000742,848,330,518,38.91509433962264,235.54000000000005,-114.46000000000002,21.74283018867976,1.3109771112566915,77728.19999999988,59290.27999999961,12262.079999999773,14.459999999999733,10.29413682906126,1925.9599999999773,-1137.9800000000002,1783.0999999999997,152.37950413223132,5.023739106240048,121,14.46
MES,2,100,21,55,25,75,1.5,2.0,10000.0,27238.82531705289,17238.82531705248,172.3882531705289,897,401,496,44.70457079152732,183.7713461204639,-113.81750902672158,19.218311390248026,1.3053633531513613,73692.309794306,56453.484477253536,12970.61999999973,14.459999999999699,12.984225783598172,1475.9599999999773,-1187.9800000000002,1255.3999999999999,142.46963071943887,5.732422181333146,121,14.46
